year,count,cowcode,Static_median,Static_975,Static_025,Dynamic_median,Dynamic_975,Dynamic_025,Robust_median,Robust_975,Robust_025,UDS_mean,UDS_sd,UDS_median,UDS_025,UDS_975
1947,Haiti,41,-0.438599172,-0.049380167,-0.988621649,-0.401114941,-0.176637229,-0.642508015,-0.636007544,-0.467965767,-0.798973627,-0.532087935,0.242617986,-0.516244055,-1.017499865,-0.087650466
1947,Honduras,91,-0.486769993,-0.107966066,-1.06906437,-0.459459541,-0.233031201,-0.708149569,-0.761696372,-0.602299642,-0.926972779,-0.578100307,0.239873077,-0.560613114,-1.08606783,-0.153279703
1947,Hungary,310,-0.350422089,0.063944887,-0.821904627,-0.671614798,-0.417127368,-0.927759503,-1.200478867,-1.001071573,-1.418276811,-0.283647822,0.202767146,-0.27727069,-0.691822082,0.104667635
1947,Iceland,395,1.319293262,2.061441314,0.488383482,2.028581858,2.562327958,1.504601995,2.907152666,3.505167421,2.333604451,1.287837036,0.410921844,1.281656514,0.487760423,2.10128414
1947,India,750,-0.141636932,0.323352309,-0.701036255,0.064225582,0.487513247,-0.348298025,-0.010590004,0.961657214,-0.732556447,-0.156060461,0.219962587,-0.159441713,-0.58499885,0.277270581
1947,Indonesia,850,-0.181307137,0.288505804,-0.768614961,-0.068439087,0.156879411,-0.30125698,-0.063065524,0.098003472,-0.233141581,-0.24741115,0.28007692,-0.244610853,-0.816627944,0.294426789
1947,Iran,630,-0.407242708,-0.016090078,-0.941281317,-0.337018505,-0.116275987,-0.571967016,-0.511488818,-0.351554984,-0.673727964,-0.495412898,0.242057348,-0.483607317,-0.999055671,-0.052325045
1947,Iraq,645,-0.510392813,-0.116707738,-1.090140776,-0.526427762,-0.299780324,-0.777302796,-0.891211885,-0.727281646,-1.053359164,-0.607149312,0.252641592,-0.595434044,-1.125039366,-0.141476327
1947,Ireland,205,0.739371841,1.186071307,0.351005002,0.847469008,1.117754772,0.586608499,1.346484494,1.5802649,1.074827478,0.737184116,0.230730002,0.726530828,0.308664721,1.222272364
1947,Italy,325,0.91097408,1.454876917,0.455868249,0.975040279,1.314128511,0.685061838,1.272340692,1.579497593,0.963353268,0.914855984,0.246494748,0.9062647,0.447509817,1.416937008
1947,Japan,740,0.806987866,1.533729704,0.175528451,1.116344533,1.668720781,0.619932829,1.931961384,2.481788198,1.320515519,0.794169041,0.363256592,0.77502845,0.132985229,1.548654991
1947,Jordan,663,-1.845314306,-0.973087656,-3.044949303,-1.919356977,-1.574749987,-2.329032936,-2.612524047,-2.326433589,-3.061610048,-1.856325112,0.471570606,-1.81469889,-2.912461921,-1.036466165
1947,Lebanon,660,0.139048165,0.436949326,-0.148893397,0.010067436,0.247263884,-0.204132167,-0.073920607,0.082752723,-0.241011497,0.117229497,0.177041829,0.116773152,-0.235676942,0.476398103
1947,Liberia,450,-0.63067104,-0.192897134,-1.196455231,-0.704377214,-0.449609891,-0.964172197,-1.214792439,-1.017682729,-1.402119384,-0.709189986,0.26827721,-0.699902838,-1.267223406,-0.216436157
1947,Luxembourg,212,1.325293093,2.04357656,0.509122463,2.096815532,2.652876052,1.576102376,3.075627602,3.678356085,2.466547621,1.422003868,0.351075667,1.408661244,0.759317614,2.134935252
1947,Mexico,70,-0.631490062,-0.200399937,-1.17432568,-0.692536814,-0.459727591,-0.954035812,-1.211659249,-1.022955572,-1.40236071,-0.714105324,0.266382436,-0.699253427,-1.262904892,-0.22647727
1947,Mongolia,712,-1.29147016,-0.659478801,-1.874484415,-1.527796329,-1.223844452,-1.855660811,-2.180958409,-1.928352409,-2.44316194,-1.292968318,0.323179841,-1.290792746,-1.936950719,-0.655691557
1947,Nepal,790,-0.555260136,-0.13644786,-1.11122194,-0.575589428,-0.337625685,-0.823276339,-0.997544305,-0.8245481,-1.171625409,-0.644204086,0.259794435,-0.635153159,-1.183050792,-0.157485011
1947,Netherlands,210,1.413635033,2.065239701,0.856855776,2.126500999,2.673987609,1.615837401,3.269000965,3.873121788,2.6669252,1.429123536,0.34188259,1.41124639,0.810669724,2.143713264
1947,New Zealand,920,1.421414819,2.120026001,0.834548097,1.929055944,2.447554413,1.456211242,2.680033303,3.259371999,2.131697914,1.416497982,0.342462602,1.401022853,0.79270277,2.12843542
1947,Nicaragua,93,-1.091406489,-0.496667321,-1.675241819,-1.25554975,-0.994436583,-1.539039791,-1.908076056,-1.707258976,-2.106872904,-1.10312077,0.299285631,-1.092501239,-1.700088711,-0.540403301
1947,Norway,385,1.218345017,1.863609203,0.706262228,1.694621385,2.157270108,1.315361217,2.448311063,2.980516077,2.017616419,1.217838744,0.309363359,1.203213398,0.653889432,1.848989011
1947,Pakistan,770,-0.009420227,0.331420716,-0.36032569,-0.210808851,0.097575063,-0.491050716,-0.865240383,-0.694442387,-1.033169169,-0.066572616,0.176844648,-0.065526273,-0.409257974,0.274462651
1947,Panama,95,-0.475665393,-0.089774124,-1.016029241,-0.426752265,-0.199585595,-0.668891268,-0.751440863,-0.588104352,-0.917347596,-0.568167843,0.24781411,-0.556448303,-1.092020448,-0.114884867
1947,Paraguay,150,-0.553702226,-0.131159678,-1.133549632,-0.740609704,-0.482393205,-1.051624251,-1.038720793,-0.863517296,-1.210046595,-0.646701587,0.258447068,-0.634580829,-1.191625139,-0.169480586
1947,Peru,135,0.085830313,0.408543526,-0.220795976,-0.144699271,0.072627848,-0.38060258,-0.087584226,0.075930398,-0.259598061,0.051462164,0.179222449,0.052587788,-0.299489258,0.398180514
1947,Philippines,840,0.140768042,0.453947029,-0.160371502,0.014666761,0.240782351,-0.211862827,-0.072490314,0.081878824,-0.238470213,0.114778914,0.178670559,0.113736226,-0.238089979,0.463041896
1947,Poland,290,-0.556548748,-0.09809791,-1.082715009,-0.824636557,-0.555368844,-1.110322076,-1.420416502,-1.202369552,-1.718203869,-0.609805185,0.243070937,-0.605696077,-1.099877421,-0.14969861
1947,Portugal,235,-1.303550036,-0.640391496,-1.920709339,-1.511852484,-1.211691661,-1.828457069,-2.179495912,-1.93363936,-2.441434714,-1.296112458,0.317186398,-1.292150808,-1.931643763,-0.698334644
1947,Romania,360,-0.554595757,-0.110715784,-1.059030713,-0.932594976,-0.645344092,-1.228184744,-1.543352725,-1.297340455,-1.815608035,-0.60748545,0.238988699,-0.600567261,-1.105709873,-0.157104852
1947,Russia (USSR),365,-1.302909717,-0.645528514,-1.910486218,-1.511360673,-1.209267014,-1.829306205,-2.174659075,-1.928942991,-2.438298543,-1.289841994,0.316228508,-1.286070674,-1.920810909,-0.678221706
1947,Saudi Arabia,670,-1.846784518,-1.026046513,-2.951913257,-2.312463282,-1.80867173,-3.054542084,-3.185638868,-2.544620696,-3.953077656,-1.87531895,0.485413475,-1.830401652,-2.992613629,-1.087029491
1947,South Africa,560,-0.289778661,0.072356857,-0.79296674,-0.035249309,0.193102257,-0.286011231,0.170601959,0.35216706,-0.006553936,-0.348201634,0.219822146,-0.346623053,-0.796027703,0.059046337
1947,Spain,230,-0.850691037,-0.30909671,-1.482249413,-1.012839851,-0.715639623,-1.3142604,-1.600455108,-1.331498837,-1.85571127,-0.899613467,0.295616436,-0.889703366,-1.50003335,-0.360423744
1947,Sweden,380,1.204425444,1.884991883,0.677336862,1.812940505,2.342334702,1.382475201,2.652486113,3.197858624,2.118478268,1.224563528,0.318582247,1.204059216,0.649889109,1.905580864
