"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"AScalia",1993,"AScalia-1993",105,3.87566499333544,4.95822513954085,2.94128504188651,3.85989595151165,4.76984795374609,3.00448819336742,2.654,0.373,2.645,1.961,3.406
"AScalia",1994,"AScalia-1994",105,4.09731281394051,5.2340894196206,3.09825652824638,4.07756529774236,5.06586219106283,3.18288324863,2.878,0.383,2.872,2.154,3.654
"AScalia",1995,"AScalia-1995",105,4.29311900983652,5.39418675623986,3.36065907650334,4.27842426709862,5.25330878565618,3.3760579780882,3.144,0.394,3.135,2.396,3.943
"AScalia",1996,"AScalia-1996",105,4.45207106922173,5.51672038714012,3.53330858049228,4.42166735681257,5.40622411464758,3.47198287246528,3.348,0.407,3.333,2.583,4.167
"AScalia",1997,"AScalia-1997",105,4.49852054209891,5.53207223504063,3.56197819605063,4.48831425995535,5.47461694101175,3.52076473710953,3.414,0.423,3.408,2.623,4.262
"AScalia",1998,"AScalia-1998",105,4.49090238804046,5.58757939277344,3.57945102133331,4.47010280222634,5.44952757557995,3.51845971957882,3.397,0.437,3.385,2.575,4.278
"AScalia",1999,"AScalia-1999",105,4.50721953585878,5.58489624657391,3.62241106236676,4.48076860848344,5.48136073282627,3.52837926887899,3.475,0.423,3.467,2.666,4.329
"AScalia",2000,"AScalia-2000",105,4.47710152538663,5.55193510535018,3.55041110028161,4.44203976957712,5.46446647392548,3.46118492406463,3.473,0.415,3.461,2.69,4.32
"AScalia",2001,"AScalia-2001",105,4.34189350877269,5.42164542999057,3.37577561660637,4.30298204185792,5.28483308479349,3.34990189335069,3.317,0.416,3.308,2.531,4.162
"AScalia",2002,"AScalia-2002",105,4.0647991405171,5.07221243312517,3.06528095549625,4.04762153863517,5.0898915705451,3.10521029955241,3.001,0.419,2.996,2.22,3.866
"AScalia",2003,"AScalia-2003",105,3.89647619320545,4.89438035478078,2.92611549870011,3.87559069045186,4.88721926899506,2.93673390556774,2.809,0.41,2.799,2.039,3.658
"AScalia",2004,"AScalia-2004",105,3.67997443073829,4.62197548596906,2.69808390688909,3.6783415889755,4.6859952193719,2.70129008725808,2.585,0.404,2.575,1.825,3.409
"AScalia",2005,"AScalia-2005",105,3.60493191520553,4.5653227141813,2.66611064441242,3.57479726328421,4.56307949000495,2.64698787543565,2.533,0.394,2.522,1.789,3.329
"AScalia",2006,"AScalia-2006",105,3.54024558355027,4.56288084615613,2.60588759553277,3.50069230240637,4.43269046842478,2.62638084625341,2.522,0.373,2.512,1.842,3.299
"AScalia",2007,"AScalia-2007",105,3.39149153238566,4.3649387695564,2.53352243430587,3.33575763424507,4.22918986966435,2.5234061055839,2.389,0.361,2.378,1.716,3.119
"AScalia",2008,"AScalia-2008",105,3.25981016022386,4.22277059589295,2.42914608329657,3.20254314171334,4.05761462182603,2.38264051391908,2.29,0.352,2.278,1.642,3.002
"AScalia",2009,"AScalia-2009",105,3.15698288298488,4.13568546743741,2.36483989166203,3.10014327269629,3.98835543569944,2.32410667917698,2.273,0.345,2.267,1.622,2.971
"AScalia",2010,"AScalia-2010",105,2.974046730482,3.96752757986402,2.17682743412134,2.90928706840322,3.81482441542615,2.1326758049139,2.099,0.349,2.09,1.444,2.811
"AScalia",2011,"AScalia-2011",105,2.872705717511,3.83026492202107,2.01646002939316,2.76928418837289,3.64360932120629,2.01053380821332,2.021,0.332,2.01,1.397,2.707
"AScalia",2012,"AScalia-2012",105,2.5226706835243,3.49763675575452,1.61373893830833,2.47393421699659,3.33767059916679,1.70486906296122,1.687,0.332,1.672,1.077,2.382
"AScalia",2013,"AScalia-2013",105,2.39166127280581,3.42121097954185,1.46533631156077,2.32526759720542,3.26765499007523,1.50504311637952,1.542,0.344,1.53,0.907,2.258
"AScalia",2014,"AScalia-2014",105,2.29411928382511,3.28763116862583,1.34959836639878,2.21081448365752,3.19375184684699,1.35443265288093,1.453,0.35,1.438,0.822,2.196
"AScalia",2015,"AScalia-2015",105,2.32899953404196,3.49041449419425,1.26953964485957,2.2368299223754,3.36968781340268,1.2109502184087,1.526,0.443,1.513,0.699,2.422
"BNCardozo",1937,"BNCardozo-1937",77,-1.6650514882122,-0.490553716107504,-3.0251405837572,-1.62017469905735,-0.393369921975442,-2.94496679435666,-1.598,0.635,-1.546,-2.957,-0.48
"BRWhite",1961,"BRWhite-1961",95,-0.417330132129383,0.15752601807543,-1.00764146031034,-0.444665524519669,0.227400181853984,-1.08806702704596,-0.279,0.29,-0.275,-0.858,0.286
"BRWhite",1962,"BRWhite-1962",95,-0.38657738660306,-0.000791750912452847,-0.795777306665389,-0.42392654998716,0.0168057684666875,-0.863854203431497,-0.246,0.166,-0.246,-0.578,0.079
